layer,Thickness,Lithology
56,0.5,Limestone
55,0.22,Limestone
54,0.085,Dolostone
53,0.16,Limestone
52,0.2,Dolostone
51,0.045,Sandstone
50,0.031,Shale
49,0.086,Siltstone
48,0.012,Dolostone
47,0.05,Siltstone
46,0.154,Shale
45,0.023,Dolostone
44,0.08,Shale
43,0.02,Limestone
42,0.063,Shale
41,0.016,Dolostone
40,0.012,Siltstone
39,0.016,Limestone
38,0.18,Shale
37,0.015,Shale
36,0.068,Dolostone
35,0.016,Limestone
34,0.111,Dolostone
33,0.017,Shale
32,0.01,Sandstone
31,0.024,Shale
30,0.15,Dolostone
29,0.065,Dolostone
28,0.03,Limestone
27,0.021,Dolostone
26,0.011,Limestone
25,0.014,Dolostone
24,0.153,Limestone
23,0.061,Limestone
22,0.02,Dolostone
21,0.023,Limestone
20,0.138,Dolostone
19,0.007,Sandstone
18,0.05,Dolostone
17,0.091,Limestone
16,0.021,Shale
15,0.005,Dolostone
14,0.011,Shale
13,0.043,Dolostone
12,0.013,Shale
11,0.05,Dolostone
10,0.045,Limestone
9,0.082,Dolostone
8,0.061,Limestone
7,0.05,Dolostone
6,0.01,Limestone
5,0.011,Dolostone
4,0.205,Limestone
3,0.24,Limestone
2,0.147,Dolostone
1,0.064,Dolostone
